,country,month,export_value
402,Thailand,2012-05-01,11363210.0
403,USA,2012-05-01,190678349.0
404,Rep. of Korea,2012-05-01,267275754.133
405,Viet Nam,2012-05-01,2176667.68
406,China,2012-06-01,1608777998.0
407,"China, Hong Kong SAR",2012-06-01,217858190.61
408,France,2012-06-01,50397596.914
409,Germany,2012-06-01,502683098.05
410,Italy,2012-06-01,36061376.972
411,Japan,2012-06-01,493938556.317
412,Malaysia,2012-06-01,212169957.073
413,Netherlands,2012-06-01,180915530.716
414,Philippines,2012-06-01,60181196.0
415,Singapore,2012-06-01,133426741.0
416,Thailand,2012-06-01,10655247.0
417,USA,2012-06-01,179094674.0
418,Rep. of Korea,2012-06-01,179612876.984
419,Viet Nam,2012-06-01,3673147.031
420,China,2012-07-01,1488475349.0
421,"China, Hong Kong SAR",2012-07-01,209020376.327
422,France,2012-07-01,31992547.872
423,Germany,2012-07-01,416806404.165
424,Italy,2012-07-01,23000451.044
425,Japan,2012-07-01,521904981.026
426,Malaysia,2012-07-01,237609033.392
427,Netherlands,2012-07-01,94614712.933
428,Philippines,2012-07-01,55871380.0
429,Singapore,2012-07-01,165641256.0
430,Thailand,2012-07-01,10485369.0
431,USA,2012-07-01,181073273.0
432,Rep. of Korea,2012-07-01,162034847.29
433,Viet Nam,2012-07-01,1889102.358
434,China,2012-08-01,1286111934.0
435,"China, Hong Kong SAR",2012-08-01,223943761.036
436,France,2012-08-01,31778062.8
437,Germany,2012-08-01,349431522.6
438,Italy,2012-08-01,24833554.4
439,Japan,2012-08-01,507554670.276
440,Malaysia,2012-08-01,252898564.944
441,Netherlands,2012-08-01,84106035.52
442,Philippines,2012-08-01,57432037.0
443,Singapore,2012-08-01,146209452.0
444,Thailand,2012-08-01,12515904.0
445,USA,2012-08-01,208273357.0
446,Rep. of Korea,2012-08-01,184336916.733
447,Viet Nam,2012-08-01,1803412.5
448,China,2012-09-01,1109940444.0
449,"China, Hong Kong SAR",2012-09-01,235393352.832
450,France,2012-09-01,26428836.641
451,Germany,2012-09-01,296192077.191
452,Italy,2012-09-01,22088920.946
453,Japan,2012-09-01,541055078.201
454,Malaysia,2012-09-01,236150712.514
455,Netherlands,2012-09-01,93999151.718
456,Philippines,2012-09-01,88978163.0
457,Singapore,2012-09-01,138826425.0
458,Thailand,2012-09-01,12288016.0
